Case #1: 1
1 1 1
Case #2: 4
1 1 1
1 2 1
1 1 2
1 2 2
Case #3: 2
1 1 1
1 1 2
Case #4: 2
1 1 1
1 2 2
Case #5: 1
1 1 1
Case #6: 18
1 1 1
2 1 1
1 2 1
2 2 1
1 3 1
2 3 1
1 1 2
2 1 2
1 2 2
2 2 2
1 3 2
2 3 2
1 1 3
2 1 3
1 2 3
2 2 3
1 3 3
2 3 3
Case #7: 27
1 1 1
2 1 1
3 1 1
1 2 1
2 2 1
3 2 1
1 3 1
2 3 1
3 3 1
1 1 2
2 1 2
3 1 2
1 2 2
2 2 2
3 2 2
1 3 2
2 3 2
3 3 2
1 1 3
2 1 3
3 1 3
1 2 3
2 2 3
3 2 3
1 3 3
2 3 3
3 3 3
Case #8: 9
1 1 1
1 2 1
1 3 1
1 1 2
1 2 2
1 3 2
1 1 3
1 2 3
1 3 3
Case #9: 6
1 1 1
1 2 1
1 1 2
1 2 2
1 1 3
1 2 3
Case #10: 4
1 1 1
1 2 1
1 1 2
1 2 2
Case #11: 9
1 1 1
1 2 1
1 3 1
1 1 2
1 2 2
1 3 2
1 1 3
1 2 3
1 3 3
Case #12: 1
1 1 1
Case #13: 1
1 1 1
Case #14: 3
1 1 1
1 2 2
1 3 3
Case #15: 27
1 1 1
2 1 1
3 1 1
1 2 1
2 2 1
3 2 1
1 3 1
2 3 1
3 3 1
1 1 2
2 1 2
3 1 2
1 2 2
2 2 2
3 2 2
1 3 2
2 3 2
3 3 2
1 1 3
2 1 3
3 1 3
1 2 3
2 2 3
3 2 3
1 3 3
2 3 3
3 3 3
Case #16: 12
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
1 1 3
2 1 3
1 2 3
2 2 3
Case #17: 12
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
1 1 3
2 1 3
1 2 3
2 2 3
Case #18: 9
1 1 1
1 2 1
1 3 1
1 1 2
1 2 2
1 3 2
1 1 3
1 2 3
1 3 3
Case #19: 6
1 1 1
1 2 1
1 1 2
1 2 2
1 1 3
1 2 3
Case #20: 6
1 1 1
1 2 1
1 1 2
1 2 2
1 1 3
1 2 3
Case #21: 27
1 1 1
2 1 1
3 1 1
1 2 1
2 2 1
3 2 1
1 3 1
2 3 1
3 3 1
1 1 2
2 1 2
3 1 2
1 2 2
2 2 2
3 2 2
1 3 2
2 3 2
3 3 2
1 1 3
2 1 3
3 1 3
1 2 3
2 2 3
3 2 3
1 3 3
2 3 3
3 3 3
Case #22: 9
1 1 1
1 2 1
1 3 1
1 1 2
1 2 2
1 3 2
1 1 3
1 2 3
1 3 3
Case #23: 9
1 1 1
1 2 1
1 3 1
1 1 2
1 2 2
1 3 2
1 1 3
1 2 3
1 3 3
Case #24: 3
1 1 1
1 1 2
1 1 3
Case #25: 8
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
Case #26: 6
1 1 1
1 2 1
1 1 2
1 2 2
1 1 3
1 2 3
Case #27: 12
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
1 1 3
2 1 3
1 2 3
2 2 3
Case #28: 18
1 1 1
2 1 1
1 2 1
2 2 1
1 3 1
2 3 1
1 1 2
2 1 2
1 2 2
2 2 2
1 3 2
2 3 2
1 1 3
2 1 3
1 2 3
2 2 3
1 3 3
2 3 3
Case #29: 1
1 1 1
Case #30: 8
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
Case #31: 3
1 1 1
1 1 2
1 1 3
Case #32: 18
1 1 1
2 1 1
1 2 1
2 2 1
1 3 1
2 3 1
1 1 2
2 1 2
1 2 2
2 2 2
1 3 2
2 3 2
1 1 3
2 1 3
1 2 3
2 2 3
1 3 3
2 3 3
Case #33: 12
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
1 1 3
2 1 3
1 2 3
2 2 3
Case #34: 27
1 1 1
2 1 1
3 1 1
1 2 1
2 2 1
3 2 1
1 3 1
2 3 1
3 3 1
1 1 2
2 1 2
3 1 2
1 2 2
2 2 2
3 2 2
1 3 2
2 3 2
3 3 2
1 1 3
2 1 3
3 1 3
1 2 3
2 2 3
3 2 3
1 3 3
2 3 3
3 3 3
Case #35: 12
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
1 1 3
2 1 3
1 2 3
2 2 3
Case #36: 4
1 1 1
1 2 1
1 1 2
1 2 2
Case #37: 3
1 1 1
1 1 2
1 1 3
Case #38: 4
1 1 1
1 2 1
1 1 2
1 2 2
Case #39: 4
1 1 1
1 2 1
1 1 2
1 2 2
Case #40: 27
1 1 1
2 1 1
3 1 1
1 2 1
2 2 1
3 2 1
1 3 1
2 3 1
3 3 1
1 1 2
2 1 2
3 1 2
1 2 2
2 2 2
3 2 2
1 3 2
2 3 2
3 3 2
1 1 3
2 1 3
3 1 3
1 2 3
2 2 3
3 2 3
1 3 3
2 3 3
3 3 3
Case #41: 14
1 1 1
2 1 1
1 2 1
2 2 1
3 3 1
1 1 2
2 1 2
1 2 2
2 2 2
3 3 2
3 1 3
3 2 3
1 3 3
2 3 3
Case #42: 7
1 1 1
2 2 1
3 3 1
2 1 2
1 2 2
3 1 3
1 3 3
Case #43: 1
1 1 1
Case #44: 2
1 1 1
1 2 2
Case #45: 18
1 1 1
2 1 1
1 2 1
2 2 1
1 3 1
2 3 1
1 1 2
2 1 2
1 2 2
2 2 2
1 3 2
2 3 2
1 1 3
2 1 3
1 2 3
2 2 3
1 3 3
2 3 3
Case #46: 2
1 1 1
1 1 2
Case #47: 18
1 1 1
2 1 1
1 2 1
2 2 1
1 3 1
2 3 1
1 1 2
2 1 2
1 2 2
2 2 2
1 3 2
2 3 2
1 1 3
2 1 3
1 2 3
2 2 3
1 3 3
2 3 3
Case #48: 18
1 1 1
2 1 1
1 2 1
2 2 1
1 3 1
2 3 1
1 1 2
2 1 2
1 2 2
2 2 2
1 3 2
2 3 2
1 1 3
2 1 3
1 2 3
2 2 3
1 3 3
2 3 3
Case #49: 6
1 1 1
1 2 1
1 1 2
1 2 2
1 1 3
1 2 3
Case #50: 9
1 1 1
1 2 1
1 3 1
1 1 2
1 2 2
1 3 2
1 1 3
1 2 3
1 3 3
Case #51: 8
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
Case #52: 8
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
Case #53: 27
1 1 1
2 1 1
3 1 1
1 2 1
2 2 1
3 2 1
1 3 1
2 3 1
3 3 1
1 1 2
2 1 2
3 1 2
1 2 2
2 2 2
3 2 2
1 3 2
2 3 2
3 3 2
1 1 3
2 1 3
3 1 3
1 2 3
2 2 3
3 2 3
1 3 3
2 3 3
3 3 3
Case #54: 2
1 1 1
1 1 2
Case #55: 8
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
Case #56: 4
1 1 1
2 2 1
2 1 2
1 2 2
Case #57: 9
1 1 1
1 2 1
1 3 1
1 1 2
1 2 2
1 3 2
1 1 3
1 2 3
1 3 3
Case #58: 3
1 1 1
1 1 2
1 1 3
Case #59: 6
1 1 1
1 2 1
1 1 2
1 2 2
1 1 3
1 2 3
Case #60: 12
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
1 1 3
2 1 3
1 2 3
2 2 3
Case #61: 5
1 1 1
2 2 1
2 1 2
1 2 2
1 3 3
Case #62: 10
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
1 3 3
2 3 3
Case #63: 3
1 1 1
1 1 2
1 1 3
Case #64: 5
1 1 1
1 2 1
1 1 2
1 2 2
1 3 3
Case #65: 18
1 1 1
2 1 1
1 2 1
2 2 1
1 3 1
2 3 1
1 1 2
2 1 2
1 2 2
2 2 2
1 3 2
2 3 2
1 1 3
2 1 3
1 2 3
2 2 3
1 3 3
2 3 3
Case #66: 12
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
1 1 3
2 1 3
1 2 3
2 2 3
Case #67: 3
1 1 1
1 1 2
1 1 3
Case #68: 27
1 1 1
2 1 1
3 1 1
1 2 1
2 2 1
3 2 1
1 3 1
2 3 1
3 3 1
1 1 2
2 1 2
3 1 2
1 2 2
2 2 2
3 2 2
1 3 2
2 3 2
3 3 2
1 1 3
2 1 3
3 1 3
1 2 3
2 2 3
3 2 3
1 3 3
2 3 3
3 3 3
Case #69: 8
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
Case #70: 6
1 1 1
1 2 1
1 1 2
1 2 2
1 1 3
1 2 3
Case #71: 2
1 1 1
1 1 2
Case #72: 3
1 1 1
1 1 2
